103,magnet switch heater status,SCM_HST,double,1,,,,,,1
104,shim coil mode,SCM_SST,double,1,,,,,,1
105,shim coil status,SCM_SMD,double,1,,,,,,1
106,4He temperature calculated,PAS_4HE_TEM,double,10,,,,,,1
107,3He temperature calculated,PAS_3HE_TEM,double,10,,,,,,1
108,run type,PAS_RUN_TYP,string,1,,,,,,1
109,target type,PAS_TRG_TYP,string,1,,,,,,1
110,Coil 1 ladder location,PAS_C1_LADL,string,10,,,,,,1
111,Coil 1 board number,PAS_C1_BRDN,integer,10,,,,,,1
112,Coil 1 baseline file,PAS_C1_BAFN,string,10,,,,,,1
113,Coil 1 TE file,PAS_C1_TEFN,string,10,,,,,,1
114,Coil 1 calibration constant,PAS_C1_CALC,double,10,,,,,,1
115,Coil 1 R&S on/off,PAS_C1_RSON,integer,10,,,,,,1
116,Coil 1 RF center frequency,PAS_C1_RFF0,double,10,,,,,,1
117,Coil 1 RF frequency step size,PAS_C1_RFFS,double,10,,,,,,1
118,Coil 1 RF number of frequency steps,PAS_C1_RFFN,integer,10,,,,,,1
119,Coil 1 RF power,PAS_C1_RFPW,double,10,,,,,,1
120,Coil 1 RF switch on/off,PAS_C1_RFON,integer,10,,,,,,1
121,Coil 1 RF attenuation,PAS_C1_RFAT,double,10,,,,,,1
122,Coil 1 gain setting,PAS_C1_GAIN,integer,10,,,,,,1
123,Coil 1 number of sweeps per event,PAS_C1_NSPE,integer,10,,,,,,1
124,Coil 1 LCR tune voltage,PAS_C1_LCRV,double,10,,,,,,1
125,Coil 1 phase tune voltage,PAS_C1_PHAV,double,10,,,,,,1
126,Coil 1 offset voltage,PAS_C1_OFFV,double,10,,,,,,1
127,Coil 1 on board PS voltage,PAS_C1_BPSV,double,10,,,,,,1
128,Coil 1 peak position,PAS_C1_PEF0,double,10,,,,,,1
129,Coil 1 peak amplitude,PAS_C1_PEAM,double,10,,,,,,1
130,Coil 1 signal area,PAS_C1_AREA,double,10,,,,,,1
131,Coil 1 polarization,PAS_C1_POLN,double,10,,,,,,1
132,Coil 1 nmr spectrum,PAS_C1_V1,double,10,,,,,,1
133,Coil 1 nmr spectrum,PAS_C1_V2,double,10,,,,,,1
134,Coil 1 nmr spectrum,PAS_C1_V3,double,10,,,,,,1
135,Coil 1 nmr spectrum,PAS_C1_V4,double,10,,,,,,1
136,Coil 1 nmr spectrum,PAS_C1_V5,double,10,,,,,,1
137,Coil 1 nmr spectrum,PAS_C1_V6,double,10,,,,,,1
138,Coil 1 nmr spectrum,PAS_C1_V7,double,10,,,,,,1
139,Coil 1 nmr spectrum,PAS_C1_V8,double,10,,,,,,1
140,Coil 1 nmr spectrum,PAS_C1_V9,double,10,,,,,,1
141,Coil 1 nmr spectrum,PAS_C1_V10,double,10,,,,,,1
142,Coil 1 nmr spectrum,PAS_C1_V11,double,10,,,,,,1
143,Coil 1 nmr spectrum,PAS_C1_V12,double,10,,,,,,1
144,Coil 1 nmr spectrum,PAS_C1_V13,double,10,,,,,,1
145,Coil 1 nmr spectrum,PAS_C1_V14,double,10,,,,,,1
146,Coil 1 nmr spectrum,PAS_C1_V15,double,10,,,,,,1
147,Coil 1 nmr spectrum,PAS_C1_V16,double,10,,,,,,1
148,Coil 1 nmr spectrum,PAS_C1_V17,double,10,,,,,,1
149,Coil 1 nmr spectrum,PAS_C1_V18,double,10,,,,,,1
150,Coil 1 nmr spectrum,PAS_C1_V19,double,10,,,,,,1
151,Coil 1 nmr spectrum,PAS_C1_V20,double,10,,,,,,1
152,Coil 1 nmr spectrum,PAS_C1_V21,double,10,,,,,,1
153,Coil 1 nmr spectrum,PAS_C1_V22,double,10,,,,,,1
154,Coil 1 nmr spectrum,PAS_C1_V23,double,10,,,,,,1
155,Coil 1 nmr spectrum,PAS_C1_V24,double,10,,,,,,1
156,Coil 1 nmr spectrum,PAS_C1_V25,double,10,,,,,,1
157,Coil 1 nmr spectrum,PAS_C1_V26,double,10,,,,,,1
158,Coil 1 nmr spectrum,PAS_C1_V27,double,10,,,,,,1
159,Coil 1 nmr spectrum,PAS_C1_V28,double,10,,,,,,1
160,Coil 1 nmr spectrum,PAS_C1_V29,double,10,,,,,,1
161,Coil 1 nmr spectrum,PAS_C1_V30,double,10,,,,,,1
162,Coil 1 nmr spectrum,PAS_C1_V31,double,10,,,,,,1
163,Coil 1 nmr spectrum,PAS_C1_V32,double,10,,,,,,1
164,Coil 1 nmr spectrum,PAS_C1_V33,double,10,,,,,,1
165,Coil 1 nmr spectrum,PAS_C1_V34,double,10,,,,,,1
166,Coil 1 nmr spectrum,PAS_C1_V35,double,10,,,,,,1
167,Coil 1 nmr spectrum,PAS_C1_V36,double,10,,,,,,1
168,Coil 1 nmr spectrum,PAS_C1_V37,double,10,,,,,,1
169,Coil 1 nmr spectrum,PAS_C1_V38,double,10,,,,,,1
170,Coil 1 nmr spectrum,PAS_C1_V39,double,10,,,,,,1
171,Coil 1 nmr spectrum,PAS_C1_V40,double,10,,,,,,1
172,Coil 1 nmr spectrum,PAS_C1_V41,double,10,,,,,,1
173,Coil 1 nmr spectrum,PAS_C1_V42,double,10,,,,,,1
174,Coil 1 nmr spectrum,PAS_C1_V43,double,10,,,,,,1
175,Coil 1 nmr spectrum,PAS_C1_V44,double,10,,,,,,1
176,Coil 1 nmr spectrum,PAS_C1_V45,double,10,,,,,,1
177,Coil 1 nmr spectrum,PAS_C1_V46,double,10,,,,,,1
178,Coil 1 nmr spectrum,PAS_C1_V47,double,10,,,,,,1
179,Coil 1 nmr spectrum,PAS_C1_V48,double,10,,,,,,1
180,Coil 1 nmr spectrum,PAS_C1_V49,double,10,,,,,,1
181,Coil 1 nmr spectrum,PAS_C1_V50,double,10,,,,,,1
182,Coil 1 nmr spectrum,PAS_C1_V51,double,10,,,,,,1
183,Coil 1 nmr spectrum,PAS_C1_V52,double,10,,,,,,1
184,Coil 1 nmr spectrum,PAS_C1_V53,double,10,,,,,,1
185,Coil 1 nmr spectrum,PAS_C1_V54,double,10,,,,,,1
186,Coil 1 nmr spectrum,PAS_C1_V55,double,10,,,,,,1
187,Coil 1 nmr spectrum,PAS_C1_V56,double,10,,,,,,1
188,Coil 1 nmr spectrum,PAS_C1_V57,double,10,,,,,,1
189,Coil 1 nmr spectrum,PAS_C1_V58,double,10,,,,,,1
190,Coil 1 nmr spectrum,PAS_C1_V59,double,10,,,,,,1
191,Coil 1 nmr spectrum,PAS_C1_V60,double,10,,,,,,1
192,Coil 1 nmr spectrum,PAS_C1_V61,double,10,,,,,,1
193,Coil 1 nmr spectrum,PAS_C1_V62,double,10,,,,,,1
194,Coil 1 nmr spectrum,PAS_C1_V63,double,10,,,,,,1
195,Coil 1 nmr spectrum,PAS_C1_V64,double,10,,,,,,1
196,Coil 1 nmr spectrum,PAS_C1_V65,double,10,,,,,,1
197,Coil 1 nmr spectrum,PAS_C1_V66,double,10,,,,,,1
198,Coil 1 nmr spectrum,PAS_C1_V67,double,10,,,,,,1
