1,HV of D1U,D1U_V,double,1,kV,,,,,1
2,HV of D1Up,D1Up_V,double,1,kV,,,,,1
3,HV of D1X,D1X_V,double,1,kV,,,,,1
4,HV of D1Xp,D1Xp_V,double,1,kV,,,,,1
5,HV of D1V,D1V_V,double,1,kV,,,,,1
6,HV of D1Vp,D1Vp_V,double,1,kV,,,,,1
7,Current of D1U,D1U_I,double,1,uA,,,,,1
8,Current of D1Up,D1Up_I,double,1,uA,,,,,1
9,Current of D1X,D1X_I,double,1,uA,,,,,1
10,Current of D1Xp,D1Xp_I,double,1,uA,,,,,1
11,Current of D1V,D1V_I,double,1,uA,,,,,1
12,Current of D1Vp,D1Vp_I,double,1,uA,,,,,1
13,HV of D2V,D2V_V,double,1,kV,,,,,1
14,HV of D2Vp,D2Vp_V,double,1,kV,,,,,1
15,HV of D2Xp,D2Xp_V,double,1,kV,,,,,1
16,HV of D2X,D2X_V,double,1,kV,,,,,1
17,HV of D2U,D2U_V,double,1,kV,,,,,1
18,HV of D2Up,D2Up_V,double,1,kV,,,,,1
19,Current of D2V,D2V_I,double,1,uA,,,,,1
20,Current of D2Vp,D2Vp_I,double,1,uA,,,,,1
21,Current of D2Xp,D2Xp_I,double,1,uA,,,,,1
22,Current of D2X,D2X_I,double,1,uA,,,,,1
23,Current of D2U,D2U_I,double,1,uA,,,,,1
24,Current of D2Up,D2Up_I,double,1,uA,,,,,1
25,HV of D3pV,D3pV_V,double,1,kV,,,,,1
26,HV of D3pX,D3pX_V,double,1,kV,,,,,1
27,HV of D3pU,D3pU_V,double,1,kV,,,,,1
28,HV of D3pG,D3pG_V,double,1,kV,,,,,1
29,Current of D3pV,D3pV_I,double,1,uA,,,,,1
30,Current of D3pX,D3pX_I,double,1,uA,,,,,1
31,Current of D3pU,D3pU_I,double,1,uA,,,,,1
32,Current of D3pG,D3pG_I,double,1,uA,,,,,1
33,HV of D3mV,D3mV_V,double,1,kV,,,,,1
34,HV of D3mX,D3mX_V,double,1,kV,,,,,1
35,HV of D3mU,D3mU_V,double,1,kV,,,,,1
36,HV of D3mG,D3mG_V,double,1,kV,,,,,1
37,Current of D3mV,D3mV_I,double,1,uA,,,,,1
38,Current of D3mX,D3mX_I,double,1,uA,,,,,1
39,Current of D3mU,D3mU_I,double,1,uA,,,,,1
40,Current of D3mG,D3mG_I,double,1,uA,,,,,1
41,HV of P4V1,P4V1_V,double,1,kV,,,,,1
42,HV of P4H1,P4H1_V,double,1,kV,,,,,1
43,HV of P4V2,P4V2_V,double,1,kV,,,,,1
44,HV of P4H2,P4H2_V,double,1,kV,,,,,1
45,Current of P4V1,P4V1_I,double,1,uA,,,,,1
46,Current of P4H1,P4H1_I,double,1,uA,,,,,1
47,Current of P4V2,P4V2_I,double,1,uA,,,,,1
48,Current of P4H2,P4H2_I,double,1,uA,,,,,1
