1,two sec long epics BOS signal,BOS,integer,1,,-2,-1,2,3,0,1
2,two sec long epics EOS signal,EOS,integer,1,,-2,-1,2,3,0,1
3,spill state,BEAM_ON,integer,1,,-2,-1,2,3,0,1
4,spill status,SPILL_OK,integer,1,,-2,-1,2,3,0,1
5,spill ID,SPILLCOUNTER,integer,1,,0,200000,1250000,999999999,0,1
6,heartbeat,TIME5S,integer,1,,0,0,999999999,999999999,0,1
7,temporary BOS,t_BOS,integer,1,,-2,-1,2,3,0,1
8,temporary EOS,t_EOS,integer,1,,-2,-1,2,3,0,1
9,temporary spill ID,t_SPILLCOUNTER,integer,1,,0,200000,1250000,999999999,0,1
