52,DP1; LT qdrnt; brd 4; 9V supply,DP1_LT4_V9,double,1,V,8.1,8.55,9.45,9.9,2,1
53,DP1; LB qdrnt; brd 1; 9V supply,DP1_LB1_V9,double,1,V,8.1,8.55,9.45,9.9,2,1
54,DP1; LB qdrnt; brd 2; 9V supply,DP1_LB2_V9,double,1,V,8.1,8.55,9.45,9.9,2,1
55,DP1; LB qdrnt; brd 3; 9V supply,DP1_LB3_V9,double,1,V,8.1,8.55,9.45,9.9,2,1
56,DP1; LB qdrnt; brd 4; 9V supply,DP1_LB4_V9,double,1,V,8.1,8.55,9.45,9.9,2,1
57,DP1; RT qdrnt; brd 1; 9V supply,DP1_RT1_V9,double,1,V,8.1,8.55,9.45,9.9,2,1
58,DP1; RT qdrnt; brd 2; 9V supply,DP1_RT2_V9,double,1,V,8.1,8.55,9.45,9.9,2,1
59,DP1; RT qdrnt; brd 3; 9V supply,DP1_RT3_V9,double,1,V,8.1,8.55,9.45,9.9,2,1
60,DP1; RT qdrnt; brd 4; 9V supply,DP1_RT4_V9,double,1,V,8.1,8.55,9.45,9.9,2,1
61,DP1; RB qdrnt; brd 1; 9V supply,DP1_RB1_V9,double,1,V,8.1,8.55,9.45,9.9,2,1
62,DP1; RB qdrnt; brd 2; 9V supply,DP1_RB2_V9,double,1,V,8.1,8.55,9.45,9.9,2,1
63,DP1; RB qdrnt; brd 3; 9V supply,DP1_RB3_V9,double,1,V,8.1,8.55,9.45,9.9,2,1
64,DP1; RB qdrnt; brd 4; 9V supply,DP1_RB4_V9,double,1,V,8.1,8.55,9.45,9.9,2,1
65,DP2; LT qdrnt; brd 1; 9V supply,DP2_LT1_V9,double,1,V,8.1,8.55,9.45,9.9,2,1
66,DP2; LT qdrnt; brd 2; 9V supply,DP2_LT2_V9,double,1,V,8.1,8.55,9.45,9.9,2,1
67,DP2; LB qdrnt; brd 1; 9V supply,DP2_LB1_V9,double,1,V,8.1,8.55,9.45,9.9,2,1
68,DP2; LB qdrnt; brd 2; 9V supply,DP2_LB2_V9,double,1,V,8.1,8.55,9.45,9.9,2,1
69,DP2; RT qdrnt; brd 1; 9V supply,DP2_RT1_V9,double,1,V,8.1,8.55,9.45,9.9,2,1
70,DP2; RT qdrnt; brd 2; 9V supply,DP2_RT2_V9,double,1,V,8.1,8.55,9.45,9.9,2,1
71,DP2; RB qdrnt; brd 1; 9V supply,DP2_RB1_V9,double,1,V,8.1,8.55,9.45,9.9,2,1
72,DP2; RB qdrnt; brd 2; 9V supply,DP2_RB2_V9,double,1,V,8.1,8.55,9.45,9.9,2,1
73,DP1; LT qdrnt; brd 1; VDD,DP1_LT1_VDD,double,1,V,2.88,3.04,3.36,3.52,2,1
74,DP1; LT qdrnt; brd 2; VDD,DP1_LT2_VDD,double,1,V,2.88,3.04,3.36,3.52,2,1
75,DP1; LT qdrnt; brd 3; VDD,DP1_LT3_VDD,double,1,V,2.88,3.04,3.36,3.52,2,1
76,DP1; LT qdrnt; brd 4; VDD,DP1_LT4_VDD,double,1,V,2.88,3.04,3.36,3.52,2,1
77,DP1; LB qdrnt; brd 1; VDD,DP1_LB1_VDD,double,1,V,2.88,3.04,3.36,3.52,2,1
78,DP1; LB qdrnt; brd 2; VDD,DP1_LB2_VDD,double,1,V,2.88,3.04,3.36,3.52,2,1
79,DP1; LB qdrnt; brd 3; VDD,DP1_LB3_VDD,double,1,V,2.88,3.04,3.36,3.52,2,1
80,DP1; LB qdrnt; brd 4; VDD,DP1_LB4_VDD,double,1,V,2.88,3.04,3.36,3.52,2,1
81,DP1; RT qdrnt; brd 1; VDD,DP1_RT1_VDD,double,1,V,2.88,3.04,3.36,3.52,2,1
82,DP1; RT qdrnt; brd 2; VDD,DP1_RT2_VDD,double,1,V,2.88,3.04,3.36,3.52,2,1
83,DP1; RT qdrnt; brd 3; VDD,DP1_RT3_VDD,double,1,V,2.88,3.04,3.36,3.52,2,1
84,DP1; RT qdrnt; brd 4; VDD,DP1_RT4_VDD,double,1,V,2.88,3.04,3.36,3.52,2,1
85,DP1; RB qdrnt; brd 1; VDD,DP1_RB1_VDD,double,1,V,2.88,3.04,3.36,3.52,2,1
86,DP1; RB qdrnt; brd 2; VDD,DP1_RB2_VDD,double,1,V,2.88,3.04,3.36,3.52,2,1
87,DP1; RB qdrnt; brd 3; VDD,DP1_RB3_VDD,double,1,V,2.88,3.04,3.36,3.52,2,1
88,DP1; RB qdrnt; brd 4; VDD,DP1_RB4_VDD,double,1,V,2.88,3.04,3.36,3.52,2,1
89,DP2; LT qdrnt; brd 1; VDD,DP2_LT1_VDD,double,1,V,2.88,3.04,3.36,3.52,2,1
90,DP2; LT qdrnt; brd 2; VDD,DP2_LT2_VDD,double,1,V,2.88,3.04,3.36,3.52,2,1
91,DP2; LB qdrnt; brd 1; VDD,DP2_LB1_VDD,double,1,V,2.88,3.04,3.36,3.52,2,1
92,DP2; LB qdrnt; brd 2; VDD,DP2_LB2_VDD,double,1,V,2.88,3.04,3.36,3.52,2,1
93,DP2; RT qdrnt; brd 1; VDD,DP2_RT1_VDD,double,1,V,2.88,3.04,3.36,3.52,2,1
94,DP2; RT qdrnt; brd 2; VDD,DP2_RT2_VDD,double,1,V,2.88,3.04,3.36,3.52,2,1
95,DP2; RB qdrnt; brd 1; VDD,DP2_RB1_VDD,double,1,V,2.88,3.04,3.36,3.52,2,1
96,DP2; RB qdrnt; brd 2; VDD,DP2_RB2_VDD,double,1,V,2.88,3.04,3.36,3.52,2,1
97,DP1; LT qdrnt; brd 1; 100V supply,DP1_LT1_V100,double,1,V,90,95,105,110,1,1
98,DP1; LT qdrnt; brd 2; 100V supply,DP1_LT2_V100,double,1,V,90,95,105,110,1,1
99,DP1; LT qdrnt; brd 3; 100V supply,DP1_LT3_V100,double,1,V,90,95,105,110,1,1
100,DP1; LT qdrnt; brd 4; 100V supply,DP1_LT4_V100,double,1,V,90,95,105,110,1,1
101,DP1; LB qdrnt; brd 1; 100V supply,DP1_LB1_V100,double,1,V,90,95,105,110,1,1
102,DP1; LB qdrnt; brd 2; 100V supply,DP1_LB2_V100,double,1,V,90,95,105,110,1,1
103,DP1; LB qdrnt; brd 3; 100V supply,DP1_LB3_V100,double,1,V,90,95,105,110,1,1
104,DP1; LB qdrnt; brd 4; 100V supply,DP1_LB4_V100,double,1,V,90,95,105,110,1,1
105,DP1; RT qdrnt; brd 1; 100V supply,DP1_RT1_V100,double,1,V,90,95,105,110,1,1
106,DP1; RT qdrnt; brd 2; 100V supply,DP1_RT2_V100,double,1,V,90,95,105,110,1,1
107,DP1; RT qdrnt; brd 3; 100V supply,DP1_RT3_V100,double,1,V,90,95,105,110,1,1
108,DP1; RT qdrnt; brd 4; 100V supply,DP1_RT4_V100,double,1,V,90,95,105,110,1,1
109,DP1; RB qdrnt; brd 1; 100V supply,DP1_RB1_V100,double,1,V,90,95,105,110,1,1
110,DP1; RB qdrnt; brd 2; 100V supply,DP1_RB2_V100,double,1,V,90,95,105,110,1,1
111,DP1; RB qdrnt; brd 3; 100V supply,DP1_RB3_V100,double,1,V,90,95,105,110,1,1
112,DP1; RB qdrnt; brd 4; 100V supply,DP1_RB4_V100,double,1,V,90,95,105,110,1,1
113,DP2; LT qdrnt; brd 1; 100V supply,DP2_LT1_V100,double,1,V,90,95,105,110,1,1
114,DP2; LT qdrnt; brd 2; 100V supply,DP2_LT2_V100,double,1,V,90,95,105,110,1,1
115,DP2; LB qdrnt; brd 1; 100V supply,DP2_LB1_V100,double,1,V,90,95,105,110,1,1
116,DP2; LB qdrnt; brd 2; 100V supply,DP2_LB2_V100,double,1,V,90,95,105,110,1,1
117,DP2; RT qdrnt; brd 1; 100V supply,DP2_RT1_V100,double,1,V,90,95,105,110,1,1
118,DP2; RT qdrnt; brd 2; 100V supply,DP2_RT2_V100,double,1,V,90,95,105,110,1,1
119,DP2; RB qdrnt; brd 1; 100V supply,DP2_RB1_V100,double,1,V,90,95,105,110,1,1
120,DP2; RB qdrnt; brd 2; 100V supply,DP2_RB2_V100,double,1,V,90,95,105,110,1,1
121,DP1; LT qdrnt; brd 1; preamp voltage,DP1_LT1_VPREAMP,double,1,V,5.4,5.7,6.3,6.6,2,1
122,DP1; LT qdrnt; brd 2; preamp voltage,DP1_LT2_VPREAMP,double,1,V,5.4,5.7,6.3,6.6,2,1
123,DP1; LT qdrnt; brd 3; preamp voltage,DP1_LT3_VPREAMP,double,1,V,5.4,5.7,6.3,6.6,2,1
124,DP1; LT qdrnt; brd 4; preamp voltage,DP1_LT4_VPREAMP,double,1,V,5.4,5.7,6.3,6.6,2,1
125,DP1; LB qdrnt; brd 1; preamp voltage,DP1_LB1_VPREAMP,double,1,V,5.4,5.7,6.3,6.6,2,1
126,DP1; LB qdrnt; brd 2; preamp voltage,DP1_LB2_VPREAMP,double,1,V,5.4,5.7,6.3,6.6,2,1
127,DP1; LB qdrnt; brd 3; preamp voltage,DP1_LB3_VPREAMP,double,1,V,5.4,5.7,6.3,6.6,2,1
128,DP1; LB qdrnt; brd 4; preamp voltage,DP1_LB4_VPREAMP,double,1,V,5.4,5.7,6.3,6.6,2,1
129,DP1; RT qdrnt; brd 1; preamp voltage,DP1_RT1_VPREAMP,double,1,V,5.4,5.7,6.3,6.6,2,1
130,DP1; RT qdrnt; brd 2; preamp voltage,DP1_RT2_VPREAMP,double,1,V,5.4,5.7,6.3,6.6,2,1
131,DP1; RT qdrnt; brd 3; preamp voltage,DP1_RT3_VPREAMP,double,1,V,5.4,5.7,6.3,6.6,2,1
132,DP1; RT qdrnt; brd 4; preamp voltage,DP1_RT4_VPREAMP,double,1,V,5.4,5.7,6.3,6.6,2,1
133,DP1; RB qdrnt; brd 1; preamp voltage,DP1_RB1_VPREAMP,double,1,V,5.4,5.7,6.3,6.6,2,1
134,DP1; RB qdrnt; brd 2; preamp voltage,DP1_RB2_VPREAMP,double,1,V,5.4,5.7,6.3,6.6,2,1
135,DP1; RB qdrnt; brd 3; preamp voltage,DP1_RB3_VPREAMP,double,1,V,5.4,5.7,6.3,6.6,2,1
136,DP1; RB qdrnt; brd 4; preamp voltage,DP1_RB4_VPREAMP,double,1,V,5.4,5.7,6.3,6.6,2,1
137,DP2; LT qdrnt; brd 1; preamp voltage,DP2_LT1_VPREAMP,double,1,V,5.4,5.7,6.3,6.6,2,1
138,DP2; LT qdrnt; brd 2; preamp voltage,DP2_LT2_VPREAMP,double,1,V,5.4,5.7,6.3,6.6,2,1
139,DP2; LB qdrnt; brd 1; preamp voltage,DP2_LB1_VPREAMP,double,1,V,5.4,5.7,6.3,6.6,2,1
140,DP2; LB qdrnt; brd 2; preamp voltage,DP2_LB2_VPREAMP,double,1,V,5.4,5.7,6.3,6.6,2,1
141,DP2; RT qdrnt; brd 1; preamp voltage,DP2_RT1_VPREAMP,double,1,V,5.4,5.7,6.3,6.6,2,1
142,DP2; RT qdrnt; brd 2; preamp voltage,DP2_RT2_VPREAMP,double,1,V,5.4,5.7,6.3,6.6,2,1
143,DP2; RB qdrnt; brd 1; preamp voltage,DP2_RB1_VPREAMP,double,1,V,5.4,5.7,6.3,6.6,2,1
144,DP2; RB qdrnt; brd 2; preamp voltage,DP2_RB2_VPREAMP,double,1,V,5.4,5.7,6.3,6.6,2,1
145,DP1; LT qdrnt; brd 1; SiPM 1 voltage,DP1_LT1_CH1_V,double,1,V,49.5,52.25,57.75,60.5,2,1
146,DP1; LT qdrnt; brd 1; SiPM 2 voltage,DP1_LT1_CH2_V,double,1,V,49.5,52.25,57.75,60.5,2,1
147,DP1; LT qdrnt; brd 1; SiPM 3 voltage,DP1_LT1_CH3_V,double,1,V,49.5,52.25,57.75,60.5,2,1
148,DP1; LT qdrnt; brd 1; SiPM 4 voltage,DP1_LT1_CH4_V,double,1,V,49.5,52.25,57.75,60.5,2,1
149,DP1; LT qdrnt; brd 1; SiPM 5 voltage,DP1_LT1_CH5_V,double,1,V,49.5,52.25,57.75,60.5,2,1
150,DP1; LT qdrnt; brd 1; SiPM 6 voltage,DP1_LT1_CH6_V,double,1,V,49.5,52.25,57.75,60.5,2,1
151,DP1; LT qdrnt; brd 1; SiPM 7 voltage,DP1_LT1_CH7_V,double,1,V,49.5,52.25,57.75,60.5,2,1
152,DP1; LT qdrnt; brd 1; SiPM 8 voltage,DP1_LT1_CH8_V,double,1,V,49.5,52.25,57.75,60.5,2,1
153,DP1; LT qdrnt; brd 1; SiPM 9 voltage,DP1_LT1_CH9_V,double,1,V,49.5,52.25,57.75,60.5,2,1
154,DP1; LT qdrnt; brd 1; SiPM 10 voltage,DP1_LT1_CH10_V,double,1,V,49.5,52.25,57.75,60.5,2,1
155,DP1; LT qdrnt; brd 1; SiPM 11 voltage,DP1_LT1_CH11_V,double,1,V,49.5,52.25,57.75,60.5,2,1
156,DP1; LT qdrnt; brd 1; SiPM 12 voltage,DP1_LT1_CH12_V,double,1,V,49.5,52.25,57.75,60.5,2,1
157,DP1; LT qdrnt; brd 1; SiPM 13 voltage,DP1_LT1_CH13_V,double,1,V,49.5,52.25,57.75,60.5,2,1
158,DP1; LT qdrnt; brd 1; SiPM 14 voltage,DP1_LT1_CH14_V,double,1,V,49.5,52.25,57.75,60.5,2,1
159,DP1; LT qdrnt; brd 1; SiPM 15 voltage,DP1_LT1_CH15_V,double,1,V,49.5,52.25,57.75,60.5,2,1
160,DP1; LT qdrnt; brd 1; SiPM 16 voltage,DP1_LT1_CH16_V,double,1,V,49.5,52.25,57.75,60.5,2,1
161,DP1; LT qdrnt; brd 1; SiPM 17 voltage,DP1_LT1_CH17_V,double,1,V,49.5,52.25,57.75,60.5,2,1
162,DP1; LT qdrnt; brd 1; SiPM 18 voltage,DP1_LT1_CH18_V,double,1,V,49.5,52.25,57.75,60.5,2,1
163,DP1; LT qdrnt; brd 1; SiPM 19 voltage,DP1_LT1_CH19_V,double,1,V,49.5,52.25,57.75,60.5,2,1
164,DP1; LT qdrnt; brd 1; SiPM 20 voltage,DP1_LT1_CH20_V,double,1,V,49.5,52.25,57.75,60.5,2,1
165,DP1; LT qdrnt; brd 2; SiPM 1 voltage,DP1_LT2_CH1_V,double,1,V,49.5,52.25,57.75,60.5,2,1
166,DP1; LT qdrnt; brd 2; SiPM 2 voltage,DP1_LT2_CH2_V,double,1,V,49.5,52.25,57.75,60.5,2,1
167,DP1; LT qdrnt; brd 2; SiPM 3 voltage,DP1_LT2_CH3_V,double,1,V,49.5,52.25,57.75,60.5,2,1
168,DP1; LT qdrnt; brd 2; SiPM 4 voltage,DP1_LT2_CH4_V,double,1,V,49.5,52.25,57.75,60.5,2,1
