1,,runnumber,,1,,,,,,,1
2,,NM3SEM,,1,,,,,,,1
3,,coda,,1,,,,,,,1
4,,evnum,,1,,,,,,,1
5,,local_evnum,,1,,,,,,,1
6,,plask_evnum,,1,,,,,,,1
7,,plask_runnumber,,1,,,,,,,1
8,,duty_factor_withMI,,1,,,,,,,1
9,,duty_factor_noMI,,1,,,,,,,1
10,,turn13,,1,,,,,,,1
11,,bunch13,,1,,,,,,,1
12,,nbsyd,,1,,,,,,,1
13,,RF,,1,,,,,,,1
14,,X1T,,1,,,,,,,1
15,,X1B,,1,,,,,,,1
16,,X2T,,1,,,,,,,1
17,,X2B,,1,,,,,,,1
18,,X3T,,1,,,,,,,1
19,,X3B,,1,,,,,,,1
20,,X4T,,1,,,,,,,1
21,,X4B,,1,,,,,,,1
22,,XTBxYTB,,1,,,,,,,1
23,,H4Y2R11L,,1,,,,,,,1
24,,R11LxInh,,1,,,,,,,1
25,,InhxBusy,,1,,,,,,,1
26,,X1234T,,1,,,,,,,1
27,,X1234B,,1,,,,,,,1
28,,Y1234T,,1,,,,,,,1
29,,Y1234B,,1,,,,,,,1
30,,NIM2xXTB,,1,,,,,,,1
31,,NIM1xYTB,,1,,,,,,,1
32,,NIM3Cosmic,,1,,,,,,,1
33,,NIM4Beam,,1,,,,,,,1
34,,BeamxInhibit,,1,,,,,,,1
35,,B12,,1,,,,,,,1
36,,B12xBusy,,1,,,,,,,1
37,,B12xRF,,1,,,,,,,1
38,,B34,,1,,,,,,,1
39,,TrigL1,,1,,,,,,,1
40,,Inhibit,,1,,,,,,,1
41,,TSBusy,,1,,,,,,,1
42,,Y1T,,1,,,,,,,1
43,,Y1B,,1,,,,,,,1
44,,Y2T,,1,,,,,,,1
45,,Y2B,,1,,,,,,,1
46,,Y4T1,,1,,,,,,,1
47,,Y4B1,,1,,,,,,,1
48,,Y4T2,,1,,,,,,,1
49,,Y4B2,,1,,,,,,,1
50,,Y4B2Inh,,1,,,,,,,1
51,,Y4B2InB,,1,,,,,,,1
52,,R4L,,1,,,,,,,1
53,,R11LxR4L,,1,,,,,,,1
54,,NM3IONraw,,1,,,,,,,1
55,,EOSBit,,1,,,,,,,1
56,,FPGA4xInhxBusy,,1,,,,,,,1
57,,FPGA4xInhibit,,1,,,,,,,1
58,,FPGA4xBusy,,1,,,,,,,1
59,,FPGA1,,1,,,,,,,1
60,,FPGA2,,1,,,,,,,1
61,,FPGA3,,1,,,,,,,1
62,,FPGA4,,1,,,,,,,1
63,,FPGA5,,1,,,,,,,1
64,,SC1_CH1,integer,1,count,,,,,,1
65,,SC1_CH2,integer,1,count,,,,,,1
66,,SC1_CH3,integer,1,count,,,,,,1
67,,SC1_CH4,integer,1,count,,,,,,1
68,,SC1_CH5,integer,1,count,,,,,,1
69,,SC1_CH6,integer,1,count,,,,,,1
70,,SC1_CH7,integer,1,count,,,,,,1
71,,SC1_CH8,integer,1,count,,,,,,1
72,,SC1_CH9,integer,1,count,,,,,,1
73,,SC1_CH10,integer,1,count,,,,,,1
74,,SC1_CH11,integer,1,count,,,,,,1
75,,SC1_CH12,integer,1,count,,,,,,1
76,,SC1_CH13,integer,1,count,,,,,,1
77,,SC1_CH14,integer,1,count,,,,,,1
78,,SC1_CH15,integer,1,count,,,,,,1
79,,SC1_CH16,integer,1,count,,,,,,1
80,,SC1_CH17,integer,1,count,,,,,,1
81,,SC1_CH18,integer,1,count,,,,,,1
82,,SC1_CH19,integer,1,count,,,,,,1
83,,SC1_CH20,integer,1,count,,,,,,1
84,,SC1_CH21,integer,1,count,,,,,,1
85,,SC1_CH22,integer,1,count,,,,,,1
86,,SC1_CH23,integer,1,count,,,,,,1
87,,SC1_CH24,integer,1,count,,,,,,1
88,,SC1_CH25,integer,1,count,,,,,,1
89,,SC1_CH26,integer,1,count,,,,,,1
90,,SC1_CH27,integer,1,count,,,,,,1
91,,SC1_CH28,integer,1,count,,,,,,1
92,,SC1_CH29,integer,1,count,,,,,,1
93,,SC1_CH30,integer,1,count,,,,,,1
94,,SC1_CH31,integer,1,count,,,,,,1
95,,SC1_CH32,integer,1,count,,,,,,1
96,,SC2_CH1,integer,1,count,,,,,,1
97,,SC2_CH2,integer,1,count,,,,,,1
98,,SC2_CH3,integer,1,count,,,,,,1
99,,SC2_CH4,integer,1,count,,,,,,1
100,,SC2_CH5,integer,1,count,,,,,,1
